District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,_age_informative,true_dbh,pred_dbh,rel_err_pct,in_90,below_sapling_floor,co2_true,co2_pred
Ahmednagar,Parner,March 2024,2020.0,Wild,Chandan,18.9412164,74.4110692,14.0,4.458598726,6.0,5.0,4.0,4.5,3.92,1.8288000000000002,1.3716000000000002,0.0,4.458598726,4.540477546579048,1.8364249758915834,True,True,10.146905811689306,10.584465335484683
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Chiku,20.1267692,79.9948494,110.0,35.03184713,24.0,24.0,26.0,25.0,31.33,7.315200000000001,7.62,1.0,35.03184713,23.58147005935231,-32.68562182335514,True,False,1211.5675022493895,483.6796333888424
Ahmednagar,Jamkhed,February 2024,2009.0,Fruit,Chiku,18.6225321,75.2415924,37.0,11.78343949,10.0,6.0,11.0,8.5,14.83,3.048,2.5908,1.0,11.783439489999997,10.617602981492318,-9.893855775277371,True,False,96.72630239989367,75.95822508009127
Ahmednagar,Karjat,February 2024,2019.0,Fruit,Chiku,18.5572866,74.8392581,38.0,12.10191083,7.0,7.0,8.0,7.5,4.83,2.1336,2.286,1.0,12.101910829999998,8.795239020957403,-27.32355125973602,True,False,102.89979999652833,49.07359897102211
Ahmednagar,Karjat,February 2024,2019.0,Fruit,Chiku,18.5577533,74.83941,28.0,8.917197452,5.0,4.0,5.0,4.5,4.83,1.524,1.3716000000000002,1.0,8.917197451999998,6.851625406565018,-23.163915081545063,True,False,50.66677000623624,27.493785977258632
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Chiku,20.1265511,79.9946832,127.0,40.44585987,24.0,30.0,32.0,31.0,31.33,7.315200000000001,9.4488,1.0,40.44585987000001,28.49995676611815,-29.535539959536173,True,False,1690.9906991224345,750.6403686722381
Ahmednagar,Jamkhed,February 2024,2009.0,Fruit,Chiku,18.6222061,75.2416622,32.0,10.1910828,10.0,7.0,15.0,11.0,14.83,3.048,3.3528000000000002,1.0,10.191082800000002,12.192039430972384,19.634386946325094,True,False,69.06603681083587,104.68646180131665
Ahmednagar,Jamkhed,February 2024,2009.0,Fruit,Chiku,18.6223645,75.2421903,35.0,11.14649682,10.0,7.0,8.0,7.5,14.83,3.048,2.286,1.0,11.146496819999998,10.025334341025399,-10.058429092833123,True,False,85.02652884565536,66.48791848512873
Ahmednagar,Jamkhed,February 2024,2009.0,Fruit,Chiku,18.6225689,75.2418269,21.0,6.687898089,14.0,6.0,8.0,7.0,14.83,4.2672,2.1336,1.0,6.687898089,10.527328108058844,57.408620286451324,False,False,25.99353527108367,74.46831009618133
Ahmednagar,Jamkhed,February 2024,2009.0,Fruit,Chiku,18.6225464,75.241501,41.0,13.05732484,13.0,10.0,20.0,15.0,14.83,3.9624,4.572,1.0,13.057324839999998,15.65200690222856,19.871467502133175,True,False,122.73689543937712,186.89420744981553
Gadchiroli,Gadchiroli,August 2023,1992.0,Fruit,Chiku,20.1269378,79.9947147,102.0,32.48407643,26.0,28.0,32.0,30.0,31.33,7.9248,9.144,1.0,32.48407643,27.966231960538668,-13.907874152423098,True,False,1016.8783118140694,718.4294829379727
Ahmednagar,Jamkhed,March 2024,2012.0,Fruit,Chiku,18.569427,75.283921,65.0,20.70063694,18.0,20.0,21.0,20.5,11.92,5.486400000000001,6.2484,1.0,20.70063694,20.980675475698956,1.3528015418590136,True,False,357.4996110223507,368.82005779325704
Ahmednagar,Karjat,February 2024,2019.0,Fruit,Chiku,18.5570978,74.8394433,29.0,9.23566879,6.0,7.0,8.0,7.5,4.83,1.8288000000000002,2.286,1.0,9.23566879,8.405652952337459,-8.987068035194683,True,False,54.96420382739869,44.177297596519516
Ahmednagar,Jamkhed,February 2024,2009.0,Fruit,Chiku,18.6224665,75.2420453,37.0,11.78343949,12.0,11.0,13.0,12.0,14.83,3.6576000000000004,3.6576000000000004,1.0,11.783439489999997,13.320871613267368,13.047396938492454,True,False,96.72630239989367,128.5609581903294
Ahmednagar,Karjat,February 2024,2019.0,Fruit,Chiku,18.5571033,74.839015,29.0,9.23566879,7.0,5.0,6.0,5.5,4.83,2.1336,1.6764000000000001,1.0,9.23566879,7.852445287538118,-14.976971716001543,True,False,54.96420382739869,37.72287479633708
